#BLTrackFile VirtualDetector/DetBackward
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5493.59 -3641.42 -0.5 1.8714 -1.23079 -0.36461 25.8472 22 4 35928 35927 1
137.198 83.6788 -0.5 0.0671597 0.0427082 -0.504763 6.53726 22 4 39832 39809 1
-1581.87 -357.127 -0.5 -0.489263 -0.117447 -0.333493 9.99989 22 4 42290 42256 1
1673.04 -3135.82 -0.5 0.173501 -0.331283 -0.112151 16.0221 22 4 42421 42420 1
433.322 798.939 -0.5 20.5308 38.5845 -47.763 68.9682 2112 4 42725 42467 1
281.726 430.745 -0.5 0.12197 0.186052 -0.46003 7.57057 22 5 2399 2396 1
1183.84 -3203.16 -0.5 0.789901 -2.11686 -0.691367 15.4257 22 5 4136 4129 1
-378.018 -1869.04 -0.5 -0.121898 -0.58987 -0.339811 10.9217 22 5 4453 4432 1
-2017.85 -429.724 -0.5 -2.97021 -0.632186 -1.57495 11.3119 22 5 6672 6641 1
-644.845 -37.74 -0.5 -0.874712 -0.0524174 -1.41148 7.62318 22 5 6847 6793 1
779.802 856.533 -0.5 0.175246 0.220048 -0.243436 8.45227 22 5 10300 10272 1
-5771.63 8163.46 -0.5 -0.578289 0.817819 -0.10324 36.9401 22 5 11076 10867 1
1388.64 1575.28 -0.5 0.304952 0.345083 -0.221455 11.1618 22 5 11347 11311 1
7868.25 -1235.67 -0.5 0.500789 -0.0770819 -0.0662432 30.2903 22 5 11521 11492 1
599.693 -271.341 -0.5 0.957373 -0.428927 -1.55003 7.19124 22 5 13306 13127 1
747.849 -64.2971 -0.5 5.02745 -0.415629 -6.52841 7.37363 22 5 13307 13127 1
1305.07 -171.058 -0.5 0.397328 -0.0511161 -0.296031 8.73453 22 5 13329 13127 1
-89.1169 1929.28 -0.5 -0.0709724 1.65438 -0.856513 10.6919 22 5 13421 13331 1
-1850.33 -106.67 -0.5 -0.429577 -0.0295163 -0.228943 10.544 22 5 13424 13423 1
-102.217 309.509 -0.5 -0.182146 0.59437 -1.92236 6.94437 22 5 13539 13331 1
-3471.26 963.952 -0.5 -0.473319 0.128924 -0.143065 15.9682 22 5 14232 14231 1
1372.08 -1199.75 -0.5 0.330483 -0.307426 -0.253376 10.7531 22 5 14671 14638 1
-5680 -1279.33 -0.5 -0.955883 -0.213325 -0.170646 23.2081 22 5 18204 18085 1
592.974 -2272.72 -0.5 0.111838 -0.373431 -0.168524 12.3123 22 5 18208 18206 1
-1614.81 -774.271 -0.5 -0.437286 -0.208998 -0.278981 10.3632 22 5 18278 18085 1
-1494.24 -1123.1 -0.5 -3.0481 -2.30372 -2.1049 10.5919 22 5 18279 18085 1
-691.213 -915.624 -0.5 -0.541522 -0.736737 -0.828356 8.6258 22 5 18310 18085 1
-1337.56 -1255.4 -0.5 -4.53949 -4.30545 -3.51669 10.4919 22 5 18311 18085 1
