# This file contains the peak energy deposition density for each cube in the detector array.
# Each line corresponds to one cube, with the following format: (x, y, z, peak energy deposition density)
# x, y, z: The coordinates of the cube in the detector array
# peak energy deposition density: The maximum energy deposition density in the cube, in units of J/g
# this is for a 100mm X 100mm X 200mm lXe Target. Each cube is 10mm X 10mm X 10mm
x	y	z	peak_energy_deposition_density
1.0	4.0	5.0	1.6184280069550005e-12
1.0	4.0	6.0	3.384124798944577e-12
1.0	4.0	7.0	3.2289525358761735e-12
1.0	4.0	8.0	4.124931697542221e-12
1.0	4.0	9.0	7.177114442303594e-12
1.0	4.0	10.0	8.752348294900977e-12
1.0	4.0	11.0	9.465947638920303e-12
1.0	4.0	12.0	1.4854048274293023e-11
1.0	4.0	13.0	1.7398293517177026e-11
1.0	4.0	14.0	1.5830833264795505e-11
1.0	4.0	15.0	2.1373514408444408e-11
1.0	4.0	16.0	2.0032353071488347e-11
1.0	4.0	17.0	2.5257787433390125e-11
1.0	4.0	18.0	2.609760627048833e-11
1.0	4.0	19.0	2.8689541521581343e-11
1.0	4.0	20.0	2.769071615506831e-11
1.0	5.0	0.0	4.832405423579198e-13
1.0	5.0	1.0	3.5293595944281816e-13
1.0	5.0	2.0	9.090175325832972e-13
1.0	5.0	3.0	9.154133763482953e-13
1.0	5.0	4.0	1.4331193356588727e-12
1.0	5.0	5.0	2.786236010486521e-12
1.0	5.0	6.0	3.229464634336303e-12
1.0	5.0	7.0	4.101047323321652e-12
1.0	5.0	8.0	5.540935016571522e-12
1.0	5.0	9.0	8.761811172915414e-12
1.0	5.0	10.0	1.014741244066084e-11
1.0	5.0	11.0	1.259882023304585e-11
1.0	5.0	12.0	1.3733372900936982e-11
1.0	5.0	13.0	1.8478109733430473e-11
1.0	5.0	14.0	1.9856391825566755e-11
1.0	5.0	15.0	2.1528939128921123e-11
1.0	5.0	16.0	2.6005607937843284e-11
1.0	5.0	17.0	2.4453407607480284e-11
1.0	5.0	18.0	2.7857810473596467e-11
1.0	5.0	19.0	3.099168334560461e-11
1.0	5.0	20.0	3.116310389674623e-11
1.0	6.0	0.0	2.7449530993069085e-13
1.0	6.0	1.0	3.8703256401527243e-13
1.0	6.0	2.0	6.562583296458295e-13
1.0	6.0	3.0	1.2625711313898016e-12
1.0	6.0	4.0	2.07579916678845e-12
1.0	6.0	5.0	2.5451244578423404e-12
1.0	6.0	6.0	3.188374116520134e-12
1.0	6.0	7.0	3.6142589744132052e-12
1.0	6.0	8.0	5.017780914104884e-12
1.0	6.0	9.0	7.03619595847143e-12
1.0	6.0	10.0	8.590265558730455e-12
1.0	6.0	11.0	1.0748555478442642e-11
1.0	6.0	12.0	1.1277979271195925e-11
1.0	6.0	13.0	1.6946663683794776e-11
1.0	6.0	14.0	2.0941923995989538e-11
1.0	6.0	15.0	2.1590408163873145e-11
1.0	6.0	16.0	2.262617856845817e-11
1.0	6.0	17.0	2.1325897925813922e-11
1.0	6.0	18.0	2.4744899733563885e-11
1.0	6.0	19.0	2.975356036786175e-11
1.0	6.0	20.0	2.869420639226648e-11
1.0	7.0	0.0	1.5802633717374981e-13
1.0	7.0	1.0	3.861588715422248e-13
1.0	7.0	2.0	1.6438565461567693e-12
1.0	7.0	3.0	8.418129168795505e-13
1.0	7.0	4.0	8.673990543785316e-13
1.0	7.0	5.0	2.4236378774997325e-12
1.0	7.0	6.0	2.5396650332033922e-12
1.0	7.0	7.0	2.744341241126054e-12
1.0	7.0	8.0	3.934544597800056e-12
1.0	7.0	9.0	6.7984379836458524e-12
1.0	7.0	10.0	7.5412741097544e-12
1.0	7.0	11.0	8.228559604502912e-12
1.0	7.0	12.0	1.0662304883017064e-11
1.0	7.0	13.0	1.377132172420977e-11
1.0	7.0	14.0	1.1518993393596315e-11
1.0	7.0	15.0	1.3810068073031837e-11
1.0	7.0	16.0	1.7409400347620326e-11
1.0	7.0	17.0	1.9196596663602142e-11
1.0	7.0	18.0	2.0038038309169986e-11
1.0	7.0	19.0	2.185142430796015e-11
1.0	7.0	20.0	2.255853743465756e-11
1.0	8.0	0.0	1.009792359435458e-13
1.0	8.0	1.0	3.1675107795411996e-13
1.0	8.0	2.0	8.770706188044087e-13
1.0	8.0	3.0	1.0513094871366034e-12
1.0	8.0	4.0	1.2588652778457957e-12
1.0	8.0	5.0	1.5163643144538235e-12
1.0	8.0	6.0	1.7160805878325656e-12
1.0	8.0	7.0	2.1585852383566595e-12
1.0	8.0	8.0	2.807534183195465e-12
1.0	8.0	9.0	3.4491809993023812e-12
1.0	8.0	10.0	5.921908372199812e-12
1.0	8.0	11.0	6.701048085091001e-12
1.0	8.0	12.0	7.562922363429209e-12
1.0	8.0	13.0	9.906296768800454e-12
1.0	8.0	14.0	1.0853535390133212e-11
1.0	8.0	15.0	9.9792044000528e-12
1.0	8.0	16.0	1.0596417599946289e-11
1.0	8.0	17.0	1.3394526952235583e-11
