#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-4718.37 -8816.86 1777.5 -0.221521 -0.414671 0.0331076 37.0227 22 12 23735 22634 1
3020.56 -9532.9 1096.33 0.291183 -0.914866 0.00457653 36.8688 22 12 24861 24860 1
-9553.83 2953.7 1707.3 -1.44838 0.444665 0.102811 36.839 22 12 25590 25565 1
560.974 -9984.25 1420.03 0.0140678 -0.292282 0.0118781 38.062 22 12 26056 25907 1
-1790.45 9838.41 750.461 -0.0902288 0.502714 -0.0160399 36.8549 22 12 28542 28510 1
-5099.68 -8601.93 1916.12 -0.344596 -0.584541 0.060255 36.905 22 13 10229 10203 1
-7963.88 -6047.86 1570.19 -2.65335 -2.00428 0.171932 36.9754 22 13 12468 12384 1
-9873.43 -1585.97 107.008 -0.734472 -0.114567 -0.0689093 37.1353 22 13 12535 12384 1
6403.45 7680.87 1702.9 0.920723 1.10383 0.0999684 36.7686 22 13 19200 19092 1
6771.22 7358.71 877.529 0.64049 0.697457 -0.0172722 36.8818 22 13 24070 24069 1
-8417.17 -5399.19 474.119 -0.34316 -0.219258 -0.0244026 37.0768 22 13 26614 26613 1
-7702.54 6377.38 157.123 -0.570633 0.47143 -0.0681642 37.1312 22 13 32739 32688 1
-8487.3 5288.26 1823.43 -0.645428 0.405913 0.060035 36.9181 22 13 33568 33529 1
8767.76 4809 1389.31 0.382758 0.210073 0.0139355 36.8901 22 14 3916 3887 1
-843.009 -9964.4 896.143 -0.034499 -0.397387 -0.00487686 36.8266 22 14 4354 4353 1
4038.1 9148.43 644.25 0.180094 0.412258 -0.0178886 36.782 22 14 4743 4742 1
6035.83 7973 1946.44 0.235577 0.309651 0.0338531 37.0119 22 14 4970 4910 1
6994.03 7147.28 339.01 0.735702 0.751424 -0.0778213 36.8992 22 14 6578 6577 1
9559.71 -2934.6 86.3041 1.29113 -0.397871 -0.1215 36.7678 22 14 9960 9890 1
-9934.17 -1145.57 1059.56 -1.3765 -0.159685 0.00413423 36.825 22 14 10552 10447 1
4203.64 -9073.56 745.546 0.275547 -0.596632 -0.0178298 36.7716 22 14 12146 12145 1
9462.79 3233.52 1881.22 0.699319 0.241594 0.0623351 36.9208 22 14 13386 13361 1
9066.41 4219.03 1989.72 1.01853 0.472709 0.108369 37.0015 22 14 16422 16421 1
-6599.91 -7512.74 316.438 -0.336455 -0.382738 -0.0378029 37.0227 22 14 18521 18520 1
6604.81 7508.43 1800.07 0.336455 0.382738 0.0378029 36.9489 22 14 18522 18520 1
3644.21 -9312.34 204.521 0.905026 -2.32675 -0.212719 37.0358 22 14 19379 19324 1
-9738.63 2271.34 927.222 -5.33192 1.23174 -0.0736563 36.8248 22 14 29637 29636 1
-6415.59 7670.74 251.026 -0.28121 0.334331 -0.0356887 37.0419 22 14 34297 34277 1
-1816.77 -9833.58 1862.22 -0.650659 -3.51334 0.279568 37.435 11 14 34742 34692 1
2956.12 9553.08 1327.09 0.341646 1.10628 0.0331396 36.8058 22 14 35356 35324 1
-6451.55 7640.52 436.921 -2.45681 2.91494 -0.233518 36.8997 22 14 39188 39094 1
-4790.37 8777.95 1354.24 -0.243914 0.448747 0.0158847 36.8967 22 15 2525 2524 1
1029.55 9946.86 205.624 0.117176 1.14495 -0.0967573 36.9891 22 15 2968 2967 1
952.655 -9954.52 1955.58 0.0486371 -0.464785 0.0465627 37.5117 22 15 7675 7674 1
-4096.4 9122.47 1919.43 -0.698943 1.55934 0.155479 36.9004 22 15 12014 12013 1
5680.5 8229.94 276.902 0.489062 0.710003 -0.0647726 36.9249 22 15 13863 13822 1
2520.31 -9677.19 1867.02 0.122519 -0.473694 0.0415182 36.8948 22 15 19406 19405 1
-492.382 -9987.87 1958.3 -0.0382147 -0.787112 0.0718091 36.9391 22 15 19704 19647 1
1418.46 -9898.89 1280.41 0.0733979 -0.505576 0.0111918 36.9308 22 15 28056 28033 1
6075.81 7942.58 323.268 0.20065 0.266154 -0.0227921 36.9831 22 15 30912 30911 1
-7431.4 6691.36 1528.66 -3.99856 3.58232 0.244989 36.9604 22 15 32146 32064 1
6534.12 -7570.03 1142.27 0.945187 -1.09672 0.0184621 36.747 22 16 4934 4933 1
9743.05 -2252.31 777.248 0.789226 -0.178506 -0.0163107 42.7493 11 16 6850 6824 1
4756.95 8796.1 1698.08 4.22627 7.80607 0.550116 37.0064 22 16 12106 12104 1
-7029.93 7111.96 1781.48 -0.68468 0.692835 0.0688272 36.9909 22 16 13267 13219 1
6539.21 7565.63 777.762 0.333962 0.386534 -0.0134525 36.8249 22 16 14099 14098 1
-9645.56 -2638.79 1267.22 -0.345271 -0.0938321 0.0101712 37.0188 22 16 16225 16224 1
6300.52 7765.53 1398.12 0.316332 0.390801 0.0174698 36.8703 22 16 19195 19194 1
-4374.21 -8992.57 1026.07 -0.180747 -0.370166 0.0010243 36.7877 22 16 25704 25703 1
-9645.8 2637.92 1335.65 -0.579147 0.158399 0.0226466 36.9413 22 16 36413 36372 1
9997.49 -223.825 1965.28 0.282178 -0.00544125 0.0271551 36.9251 22 16 37670 37669 1
-9555.08 -2949.67 692.629 -1.47559 -0.457607 -0.0532388 36.8319 22 16 41645 41489 1
5561.91 -8310.54 1669.64 0.508363 -0.76044 0.0580472 36.8999 22 16 41864 41775 1
8477.71 5303.63 452.52 0.358945 0.22479 -0.0242892 36.7673 22 16 43065 43017 1
-8468.4 5318.48 1035.06 -0.432226 0.272559 0.00352675 36.8508 22 16 48292 48291 1
-9184.67 3954.97 1645.2 -0.489005 0.211123 0.0304015 37.0056 22 17 2495 2492 1
8963.49 -4433.49 282.127 0.569982 -0.281803 -0.0483165 36.9611 22 17 3250 3155 1
-9849.38 -1729.08 102.876 -3.32604 -0.576702 -0.314559 36.9049 22 17 4237 4236 1
-9457.03 3250.31 1095.99 -3.72191 1.283 0.0110327 36.917 22 17 9989 9928 1
9575.86 -2881.49 1619.77 0.328302 -0.0984299 0.0185804 36.9926 22 17 11379 11350 1
1838.05 -9829.63 1972.19 0.487019 -2.58932 0.251024 36.8515 22 17 11661 11445 1
2209.35 9752.89 542.08 0.186276 0.8245 -0.0444888 37.0863 22 17 14599 14567 1
2483.01 9686.83 1079.71 0.0756357 0.292865 0.00120112 37.0493 22 17 19688 19685 1
8322.07 -5544.65 183.091 1.39032 -0.928055 -0.146637 37.1178 22 17 31267 31266 1
6462.08 -7631.61 1615.07 0.625137 -0.736353 0.057566 36.7927 22 17 32720 32686 1
-7822.32 -6229.87 1772.07 -0.258552 -0.205513 0.0251001 37.0267 22 17 32964 32962 1
3025.63 -9531.29 1547.86 0.168572 -0.525799 0.0279267 36.8395 22 17 33239 32686 1
-2105.7 -9775.79 1783.06 -0.088752 -0.409069 0.0338005 36.8364 22 17 33371 33370 1
-3718.59 -9282.89 515.181 -10.1066 -25.2718 -1.44767 1157.43 2112 18 2859 2807 1
-8334.74 -5525.59 921.731 -1.16829 -0.776025 -0.0188751 36.8938 22 18 10509 10385 1
-476.715 9988.63 1701.64 -0.0247932 0.495366 0.0341725 36.8912 22 18 11438 11406 1
9914.82 1302.47 891.572 0.506598 0.066383 -0.00844732 36.873 22 18 12899 12898 1
5585.42 -8294.76 517.436 0.507873 -0.753186 -0.0418805 36.6597 22 18 15366 15292 1
9795.33 2012.86 1344.72 0.466151 0.0955811 0.0169649 36.8147 22 18 21663 21662 1
-9807.04 -1955.01 1429.54 -0.500669 -0.100527 0.0185645 36.9429 22 18 25516 25486 1
-578.109 -9983.28 657.551 -0.100519 -1.58995 -0.0567927 36.7662 22 18 26384 26326 1
-5879.9 8088.68 434.049 -0.30053 0.412253 -0.0291445 36.7789 22 18 26448 26447 1
-1387.4 9903.29 1861.14 -0.198861 1.41683 0.11458 37.029 22 19 3450 3420 1
-9810.53 1937.37 775.578 -0.833054 0.162306 -0.0217381 37.0578 22 19 9223 9222 1
1435.03 -9896.5 1475.58 0.567448 -3.92113 0.162871 36.9077 22 19 10457 10431 1
-7961.84 6050.55 236.106 -1.63615 1.24592 -0.17247 37.0793 22 19 11832 11831 1
5287.49 -8487.78 1880.43 0.268876 -0.432467 0.0424011 36.9291 22 19 20216 20178 1
-6867.57 7268.87 181.819 -0.282676 0.301526 -0.0352024 36.9396 22 19 20998 20997 1
2059 9785.73 1445.65 0.18729 0.884554 0.0341314 36.8866 22 19 22087 22033 1
-3391.96 9407.16 1386.07 -0.132359 0.371213 0.0130929 37.0125 22 19 23063 23062 1
4356.83 9001 704.868 0.222052 0.459928 -0.0167208 36.9073 22 19 27761 27760 1
-145.726 9998.94 481.977 -0.0113141 0.823905 -0.0455015 36.8812 22 19 28078 28040 1
-3307.62 -9437.14 770.727 -2.51676 -7.15808 -0.224561 36.8671 22 19 31186 31185 1
9487.49 -3160.3 885.711 0.484695 -0.161601 -0.00870062 36.9435 22 20 4446 4445 1
-5795.74 8149.2 587.824 -0.409948 0.57164 -0.0325863 36.8878 22 20 10060 9914 1
9621.1 2726.62 1214.15 0.469263 0.13376 0.0131489 37.1052 22 20 10436 10417 1
-6349.75 7725.33 720.42 -0.286417 0.347934 -0.0127574 36.6425 22 20 12610 12578 1
4485.85 8937.4 1095.35 0.536493 1.06796 0.00481796 36.8572 22 20 13775 13721 1
-9995.12 -312.349 1123.85 -1.83848 -0.0599915 0.0130674 36.8169 22 20 16436 16386 1
-9803.33 -1973.5 1392.6 -0.233868 -0.0472826 0.00749083 36.9405 22 20 21241 21065 1
-8737.23 4864.24 341.759 -0.302934 0.168074 -0.0201507 36.7471 22 20 22863 22839 1
6943.53 7196.35 290.894 2.0375 2.10941 -0.210217 36.7912 22 20 23277 23276 1
-3361.17 9418.2 960.635 -0.166837 0.463093 -0.00195064 36.6138 22 20 23546 23545 1
-5634.94 -8261.2 1238.19 -4.34988 -6.39911 0.189723 36.6658 22 20 24146 23970 1
9932.2 1162.46 1755.35 1.57118 0.185159 0.109957 36.951 22 21 2242 2133 1
2441.41 9697.4 1053.43 0.100227 0.402534 -0.000137406 36.9041 22 21 5101 4961 1
-4818.99 -8762.27 1962.68 -0.105637 -0.193103 0.021136 36.9319 22 21 6574 6573 1
